"appearance_id","game_id","player_id","player_club_id","player_current_club_id","date","player_name","competition_id","yellow_cards","red_cards","goals","assists","minutes_played"
"3229417_32816",3229417,32816,1025,1025,"2020-02-29","Danilo","IT1",1,0,0,0,71
"3427170_107665",3427170,107665,36,36,"2021-05-03","Filip Novak","TR1",0,0,0,0,28
"4344179_564545",4344179,564545,15,15,"2024-05-22","Edmond Tapsoba","EL",1,0,0,0,90
"2328067_27612",2328067,27612,1053,1063,"2013-07-18","Jeppe Curth","ELQ",0,0,0,0,90
"4120584_1045187",4120584,1045187,39097,85465,"2023-08-12","Igor Krasnopir","UKR1",0,0,0,0,63
"2518676_133668",2518676,133668,128,2671,"2015-04-25","Panagiotis Triadis","GR1",0,0,0,0,17
"2289268_192409",2289268,192409,2441,653,"2013-02-24","Taxiarchis Fountas","GR1",1,0,0,0,80
"4373968_70411",4373968,70411,276,276,"2024-10-04","Darko Lazović","IT1",0,0,0,0,90
"2518668_173589",2518668,173589,265,3999,"2015-04-19","Viktor Klonaridis","GR1",0,0,0,0,65
"4271740_476219",4271740,476219,370,12321,"2024-02-10","Bojan Miovski","SFA",0,0,2,0,58
"2588997_146227",2588997,146227,610,472,"2015-11-08","Jasper Cillessen","NL1",0,0,0,0,90
"4129740_80059",4129740,80059,36,6646,"2024-04-22","Serdar Dursun","TR1",0,0,0,0,19
"3120728_70097",3120728,70097,2410,2410,"2018-11-11","Georgiy Shchennikov","RU1",0,0,0,0,90
"3461745_282734",3461745,282734,338,110302,"2020-10-28","Gerson Rodrigues","CL",0,0,0,0,1
"2266370_96498",2266370,96498,4482,63007,"2012-10-31","Oleksandr Nasonov","UKRP",0,0,0,0,90
"3651687_513245",3651687,513245,24,29,"2021-09-30","Jesper Lindstrøm","EL",0,0,0,1,18
"3673493_190513",3673493,190513,441,3999,"2021-11-21","Vykintas Slivka","GR1",0,0,0,0,31
"4056369_187460",4056369,187460,49702,49702,"2023-05-22","Vyacheslav Krotov","RU1",0,0,1,0,31
"3210060_184672",3210060,184672,1244,1531,"2020-06-19","Guido Carrillo","ES1",1,0,0,0,90
"3840412_474800",3840412,474800,826,826,"2023-05-06","Facundo Medina","FR1",1,0,0,0,90
"2289392_34944",2289392,34944,683,605,"2013-02-27","Konstantinos Mitroglou","GRP",0,0,0,0,75
"2243777_114499",2243777,114499,820,820,"2012-08-25","Özgür Ileri","TR1",0,0,0,0,45
"2611308_45340",2611308,45340,6890,24245,"2016-05-14","Alexandru Epureanu","TR1",1,0,0,0,90
"4370169_499758",4370169,499758,2282,2282,"2024-08-18","Hugo Vetlesen","BE1",0,0,0,0,75
"4373346_404950",4373346,404950,23826,23826,"2024-09-22","Nicolas Seiwald","L1",0,0,0,0,90
