"player_id","transfer_date","transfer_season","from_club_id","to_club_id","from_club_name","to_club_name","transfer_fee","market_value_in_eur","player_name"
352041,"2019-06-30","18/19",873,585,"Crystal Palace","São Paulo",0,250000,"Lucas Perri"
197642,"2015-03-26","14/15",9249,703,"Arsenal U21","Nottm Forest",0,1e+06,"Chuba Akpom"
718756,"2024-07-22","24/25",932,122,"Loko Moscow","Sturm Graz",340000,1e+06,"Daniil Khudyakov"
441892,"2019-01-15","18/19",23302,36486,"Dalkurd","Arendal ",0,50000,"Leopold Wahlstedt"
559263,"2024-08-12","24/25",31,1148,"Liverpool","Brentford",23400000,1.4e+07,"Fábio Carvalho"
153238,"2024-07-17","24/25",3302,26351,"UD Almería","Khor Fakkan",0,1e+06,"Jonathan Viera"
646996,"2021-07-23","21/22",37993,2814,"Watford U23","Gillingham FC",0,1e+05,"Daniel Phillips"
525287,"2021-06-30","20/21",148,294,"Tottenham","Benfica",0,1.8e+07,"Carlos Vinícius"
739477,"2022-04-12","21/22",16656,609,"Athletico-PR B","Cruzeiro",0,350000,"Jajá"
370998,"2025-06-30","24/25",660,82,"Shakhtar D.","VfL Wolfsburg",0,1800000,"Bartol Franjic"
390304,"2020-06-30","19/20",4326,1025,"AS Gubbio","Bologna",0,1e+05,"Federico Ravaglia"
203412,"2018-08-31","18/19",800,40,"Atalanta BC","G. Bordeaux",0,3e+06,"Andreas Cornelius"
215096,"2022-06-30","21/22",38,1039,"F. Düsseldorf","QPR",0,1200000,"Jordy de Wijs"
495488,"2019-12-31","19/20",19657,5817,"Vendsyssel FF","Sönderjyske",0,250000,"Rasmus Vinderslev"
647376,"2024-05-14","23/24",2578,1071,"St. Johnstone","Wigan",0,2e+05,"Luke Robinson"
315289,"2018-09-03","18/19",22140,11194,"KF Laçi","NK Lokomotiva",350000,425000,"Myrto Uzuni"
434433,"2019-02-26","18/19",159,1004,"Red Star","Zeta Golubovac",0,350000,"Nikola Krstović"
17965,"2008-07-01","08/09",417,1041,"OGC Nice","Olympique Lyon",8500000,8500000,"Hugo Lloris"
875337,"2025-06-30","24/25",2425,114,"Rio Ave","Besiktas",0,2500000,"Ege Tıknaz"
358165,"2018-07-03","18/19",720,2420,"FC Porto","Vit. Guimarães",0,1e+06,"Yordan Osorio"
556385,"2023-06-30","22/23",410,148,"Udinese Calcio","Tottenham",0,2.5e+07,"Destiny Udogie"
399262,"2021-07-01","21/22",903,2553,"Hibernian FC","Kilmarnock FC",0,350000,"Fraser Murray"
369552,"2020-07-01","20/21",404,1435,"FC Den Bosch","Go Ahead Eagles",0,275000,"Luuk Brouwers"
258005,"2024-08-16","24/25",683,1465,"Olympiacos","Estoril Praia",0,1200000,"João Carvalho"
387106,"2023-08-16","23/24",273,82,"Stade Rennais","VfL Wolfsburg",2.5e+07,2e+07,"Lovro Majer"
743600,"2024-02-01","23/24",631,667,"Chelsea","R. Strasbourg",0,1.4e+07,"Andrey Santos"
872184,"2023-01-01","22/23",1829,12574,"Instituto ACC","Godoy Cruz",282000,1500000,"Tadeo Allende"
58429,"2010-08-01","10/11",12429,6407,"Saturn 2","Dinamo S-Pb",0,50000,"Vladimir Poluyakhtov"
149829,"2017-01-25","16/17",4772,749,"NK Olimpija","FC Empoli",2300000,8e+05,"Miha Zajc"
288716,"2015-07-15","15/16",11390,34766,"CS Mioveni","FC Olt Slatina",0,2e+05,"Claudiu Bălan"
751084,"2025-06-30","24/25",11125,1124,"Tekstilshchik","Fakel Voronezh",0,75000,"Matvey Ivakhnov"
1127413,"2024-12-31","24/25",20151,2410,"FC Buxoro","CSKA Moscow",0,150000,"Amirhossein Reyvandi"
381833,"2019-01-01","18/19",43502,232,"Chertanovo","Spartak Moscow",3e+05,6e+05,"Nail Umyarov"
